City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2020-07-08 15:23:23,-23.12,-134.97,66.99,63,32,19.64
1,Tuktoyaktuk,CA,2020-07-08 15:23:23,69.45,-133.04,35.6,100,90,6.93
2,Gaurnadi,BD,2020-07-08 15:23:23,22.97,90.23,83.25,81,100,11.14
3,Avera,US,2020-07-08 15:23:23,33.19,-82.53,80.01,94,90,5.82
4,Busselton,AU,2020-07-08 15:20:50,-33.65,115.33,46.0,87,12,6.98
5,Ponta Do Sol,PT,2020-07-08 15:23:24,32.67,-17.1,75.99,66,0,1.21
6,Karratha,AU,2020-07-08 15:23:24,-20.74,116.85,66.94,37,0,8.55
7,Esperance,AU,2020-07-08 15:23:24,-33.87,121.9,51.8,100,90,10.29
8,Mar Del Plata,AR,2020-07-08 15:18:55,-38.0,-57.56,46.99,70,100,5.82
9,Kruisfontein,ZA,2020-07-08 15:23:24,-34.0,24.73,60.26,48,0,6.51
10,Rawson,AR,2020-07-08 15:21:11,-43.3,-65.1,47.52,53,37,20.54
11,Talnakh,RU,2020-07-08 15:23:24,69.49,88.4,55.4,62,0,26.84
12,Mataura,NZ,2020-07-08 15:23:25,-46.19,168.86,39.0,83,98,3.0
13,Bredasdorp,ZA,2020-07-08 15:23:25,-34.53,20.04,69.8,40,0,2.24
14,Albany,US,2020-07-08 15:19:32,42.6,-73.97,82.0,66,88,3.74
15,Derzhavinsk,KZ,2020-07-08 15:23:25,51.1,66.32,76.73,52,24,12.57
16,Bluff,NZ,2020-07-08 15:23:25,-46.6,168.33,39.0,83,98,3.0
17,Susanville,US,2020-07-08 15:23:25,40.42,-120.65,63.0,29,1,2.08
18,Yagoua,CM,2020-07-08 15:23:26,10.34,15.23,94.28,36,49,5.03
19,San Quintin,MX,2020-07-08 15:23:26,30.48,-115.95,67.03,80,92,5.37
20,Punta Arenas,CL,2020-07-08 15:20:04,-53.15,-70.92,28.4,92,40,3.36
21,Paramonga,PE,2020-07-08 15:23:26,-10.67,-77.83,64.11,73,99,8.48
22,Barrow,US,2020-07-08 15:23:26,71.29,-156.79,33.8,83,40,13.87
23,Yar-Sale,RU,2020-07-08 15:23:26,66.83,70.83,69.51,49,8,12.97
24,Ushuaia,AR,2020-07-08 15:23:26,-54.8,-68.3,42.8,70,75,2.24
