City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches),Hotel Name
1,1,Jamestown,US,42.1,-79.24,87.01,65,20,4.7,few clouds,0.0,0,Hampton Inn & Suites Jamestown
6,6,Atuona,PF,-9.8,-139.03,79.65,76,2,14.54,clear sky,0.0,0,Villa Enata
9,9,Hasaki,JP,35.73,140.83,77.0,94,75,3.36,light intensity shower rain,0.0,0,Inubosaki Kanko Hotel
27,27,Bathsheba,BB,13.22,-59.52,84.2,70,40,17.22,scattered clouds,0.0,0,Atlantis Hotel
28,28,Georgetown,MY,5.41,100.34,80.6,94,20,5.37,few clouds,0.0,0,Cititel Penang
29,29,Vaini,TO,-21.2,-175.2,75.2,88,75,5.82,light rain,0.0,0,Keleti Beach Resort
33,33,Marrakesh,MA,31.63,-8.01,80.6,42,0,6.93,clear sky,0.0,0,Les Jardins de La Koutoubia
35,35,Mahebourg,MU,-20.41,57.7,71.6,78,75,18.34,shower rain,0.0,0,Shandrani Beachcomber Resort & Spa
36,36,Ust-Tsilma,RU,65.44,52.15,73.36,65,4,5.53,clear sky,0.0,0,U Praskov'i
37,37,Avarua,CK,-21.21,-159.78,78.8,69,82,13.87,broken clouds,0.0,0,Paradise Inn
40,40,Arraial Do Cabo,BR,-22.97,-42.03,71.6,78,75,8.05,broken clouds,0.0,0,Pousada Porto Praia
42,42,Vila Velha,BR,-20.33,-40.29,75.2,88,0,6.93,clear sky,0.0,0,Hotel Vitória Palace
45,45,Fukue,JP,32.69,128.84,76.55,91,100,30.04,heavy intensity rain,0.0,0,Goto Guesthouse Utojuku & SA Car Rental
52,52,Capreol,CA,46.71,-80.92,87.8,45,40,16.11,scattered clouds,0.0,0,
53,53,Grand Forks,US,47.93,-97.03,77.0,53,75,12.75,broken clouds,0.0,0,TownHouse Hotel - Grand Forks
54,54,Cizre,TR,37.33,42.19,85.73,22,3,4.94,clear sky,0.0,0,Divan Cizre Otel
56,56,Santo Domingo,DO,18.5,-69.99,87.01,66,75,11.41,broken clouds,0.0,0,Micro Hotel Condo Suites
58,58,Marsh Harbour,BS,26.54,-77.06,85.66,71,100,8.7,moderate rain,0.0,0,Abaco Beach Resort
61,61,Kawalu,ID,-7.38,108.21,70.77,93,99,1.28,light rain,0.0,0,KOSAN UNGU UNSIK
68,68,Ponta Do Sol,PT,32.67,-17.1,71.01,73,0,3.8,clear sky,0.0,0,Hotel do Campo
72,72,Bintulu,MY,3.17,113.03,75.2,100,40,7.27,light rain,0.0,0,900 Boutique INN
73,73,Gigante,CO,2.39,-75.55,87.8,45,20,5.82,few clouds,0.0,0,Bosques De Luna
75,75,Fare,PF,-16.7,-151.02,76.78,77,58,24.36,broken clouds,0.0,0,Maitai Lapita Village Huahine
76,76,Kapaa,US,22.08,-159.32,84.99,100,90,17.22,moderate rain,0.0,0,Sheraton Kauai Resort at Coconut Beach
80,80,Pallasovka,RU,50.05,46.88,75.7,59,100,4.76,overcast clouds,0.0,0,"Hotel ""Natalia"""
82,82,Lorengau,PG,-2.02,147.27,84.04,74,84,9.82,light rain,0.0,0,Lorengau Harbourside Hotel
87,87,Pangkalanbuun,ID,-2.68,111.62,73.09,99,93,1.97,moderate rain,0.0,0,Grand Kecubung Hotel
88,88,Samarai,PG,-10.62,150.67,78.48,88,99,20.47,moderate rain,0.0,0,Nuli Sapi
91,91,Namatanai,PG,-3.67,152.43,84.06,70,41,6.42,light rain,0.0,0,Namatanai Hotel
97,97,Tual,ID,-5.67,132.75,79.72,84,92,19.17,light rain,0.0,0,Grand Vilia Hotel
101,101,Korla,CN,41.76,86.15,78.84,31,100,12.12,overcast clouds,0.0,0,Gulisitan Hotel
102,102,Saint Anthony,US,45.02,-93.22,81.0,69,90,6.93,overcast clouds,0.0,0,Holiday Inn Express Roseville-St. Paul
107,107,Qinhuangdao,CN,39.93,119.59,72.05,65,98,3.27,overcast clouds,0.0,0,Qinhuangdao Peninsula Seasons Hotel And Apartment
109,109,Kolokani,ML,13.57,-8.03,73.58,77,98,9.75,light rain,0.0,0,Lycee Famolo Coulibalibali De Kolokani
113,113,Cabo San Lucas,MX,22.89,-109.91,90.0,70,75,13.87,broken clouds,0.0,0,Hotel Tesoro Los Cabos
116,116,Isla Vista,US,34.41,-119.86,80.01,72,1,10.29,fog,0.0,0,Super 8 by Wyndham Santa Barbara/Goleta
118,118,Pran Buri,TH,12.38,99.91,78.91,81,100,4.29,overcast clouds,0.0,0,Waterside Resort
119,119,Cairns,AU,-16.92,145.77,73.0,88,75,10.29,light intensity shower rain,0.0,0,Mantra Trilogy Cairns
127,127,Hamilton,US,39.18,-84.53,87.01,74,1,2.62,clear sky,0.0,0,Six Acres Bed & Breakfast
128,128,Los Llanos De Aridane,ES,28.66,-17.92,71.6,78,10,16.11,clear sky,0.0,0,Valle Aridane
132,132,Kavieng,PG,-2.57,150.8,83.62,71,86,7.07,light rain,0.0,0,Nusa Island Retreat
136,136,Ouesso,CG,1.61,16.05,73.85,84,100,2.73,overcast clouds,0.0,0,Hôtel ABENI
137,137,Quatre Cocos,MU,-20.21,57.76,71.6,78,75,18.34,shower rain,0.0,0,Veranda Palmar Beach Hotel
138,138,Bethel,US,41.37,-73.41,86.0,62,1,10.29,clear sky,0.0,0,Courtyard by Marriott Danbury
139,139,Sao Filipe,CV,14.9,-24.5,74.5,86,53,10.63,broken clouds,0.0,0,Tortuga B&B
140,140,Saravena,CO,6.95,-71.88,76.41,80,82,1.39,light rain,0.0,0,Hotel sarare inn
142,142,Mahina,PF,-17.51,-149.49,84.2,54,20,6.93,few clouds,0.0,0,Guest Beach Bungalow Tahiti
144,144,Victoria,HK,22.29,114.16,86.0,74,100,11.01,overcast clouds,0.0,0,Mini Hotel Central
146,146,Kutum,SD,14.2,24.67,76.84,58,64,8.23,broken clouds,0.0,0,Dibbo areaمنطقة دبو
147,147,Along,IN,28.17,94.77,74.23,91,100,1.79,moderate rain,0.0,0,Hotel West
150,150,Riyadh,SA,24.69,46.72,89.6,15,35,4.7,scattered clouds,0.0,0,InterContinental Riyadh
152,152,Guatire,VE,10.48,-66.54,75.99,64,11,4.0,few clouds,0.0,0,Parque Residencial Canaima I
155,155,San Pedro,PH,14.35,121.02,84.0,83,20,1.12,few clouds,0.0,0,OYO 412 Viewfort Venue
156,156,Yanam,IN,16.73,82.22,79.99,87,92,4.63,moderate rain,0.0,0,The Regency Hotel
159,159,Panzhihua,CN,26.59,101.71,73.11,77,100,1.59,overcast clouds,0.0,0,Electric Power Hotel
161,161,Wanning,CN,18.8,110.4,82.18,84,100,12.5,overcast clouds,0.0,0,Paradise Hotel
162,162,Harper,LR,4.38,-7.72,76.3,83,100,9.6,overcast clouds,0.0,0,Screensaver
163,163,Souillac,MU,-20.52,57.52,71.6,78,75,18.34,shower rain,0.0,0,Bils' Villa
165,165,Bairiki,KI,1.33,172.98,86.0,70,20,10.29,few clouds,0.0,0,Tarawa Boutique Hotel
