City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Hobart,AU,-42.88,147.33,37.99,93,75,4.7,broken clouds,0.0,0
1,Jamestown,US,42.1,-79.24,87.01,65,20,4.7,few clouds,0.0,0
2,Praia Da Vitoria,PT,38.73,-27.07,69.8,83,40,6.53,scattered clouds,0.0,0
3,Punta Arenas,CL,-53.15,-70.92,33.8,86,92,21.92,shower sleet,0.0,0
4,Husavik,IS,66.04,-17.34,48.2,76,75,10.29,broken clouds,0.0,0
5,Longyearbyen,SJ,78.22,15.64,44.6,87,75,8.05,light rain,0.0,0
6,Atuona,PF,-9.8,-139.03,79.65,76,2,14.54,clear sky,0.0,0
7,Belyy Yar,RU,53.6,91.39,64.4,88,40,6.71,light intensity shower rain,0.0,0
8,Ostrovnoy,RU,68.05,39.51,59.38,92,100,12.55,overcast clouds,0.0,0
9,Hasaki,JP,35.73,140.83,77.0,94,75,3.36,light intensity shower rain,0.0,0
10,Plettenberg Bay,ZA,-34.05,23.37,57.33,80,97,7.58,overcast clouds,0.0,0
11,Saint-Philippe,RE,-21.36,55.77,68.0,82,75,16.11,broken clouds,0.0,0
12,Sept-Iles,CA,50.2,-66.38,66.2,82,40,6.93,scattered clouds,0.0,0
13,Rikitea,PF,-23.12,-134.97,68.23,67,5,20.69,clear sky,0.0,0
14,Clyde River,CA,70.47,-68.59,41.0,93,75,8.05,shower rain,0.0,0
15,Bredasdorp,ZA,-34.53,20.04,53.6,81,100,10.29,light rain,0.0,0
16,Komsomolskiy,UZ,40.43,71.72,75.2,36,98,9.17,light rain,0.69,0
17,Kodiak,US,57.79,-152.41,68.0,45,1,14.99,clear sky,0.15,0
18,Port Alfred,ZA,-33.59,26.89,59.0,87,28,1.99,scattered clouds,0.0,0
19,Yulara,AU,-25.24,130.99,37.4,47,0,5.82,clear sky,0.0,0
20,Busselton,AU,-33.65,115.33,36.0,87,0,7.0,clear sky,0.0,0
21,Yellowknife,CA,62.46,-114.35,68.0,48,75,11.41,broken clouds,0.0,0
22,Cape Town,ZA,-33.93,18.42,53.01,87,75,10.29,moderate rain,0.0,0
23,Faanui,PF,-16.48,-151.75,76.57,80,38,25.61,scattered clouds,2.29,0
24,Tuktoyaktuk,CA,69.45,-133.04,39.2,86,90,9.17,overcast clouds,0.0,0
25,Mount Isa,AU,-20.73,139.5,60.8,63,7,11.39,clear sky,0.0,0
26,Mataura,NZ,-46.19,168.86,44.74,90,98,6.11,overcast clouds,0.0,0
27,Bathsheba,BB,13.22,-59.52,84.2,70,40,17.22,scattered clouds,0.0,0
28,Georgetown,MY,5.41,100.34,80.6,94,20,5.37,few clouds,0.0,0
29,Vaini,TO,-21.2,-175.2,75.2,88,75,5.82,light rain,0.0,0
30,Kologriv,RU,58.83,44.32,54.1,96,76,6.22,broken clouds,0.0,0
31,Broken Hill,AU,-31.95,141.43,50.0,71,96,6.93,overcast clouds,0.0,0
32,Bonavista,CA,48.65,-53.11,54.0,85,100,3.0,overcast clouds,0.0,0
33,Marrakesh,MA,31.63,-8.01,80.6,42,0,6.93,clear sky,0.0,0
34,Nikolskoye,RU,59.7,30.79,54.0,81,20,6.71,few clouds,0.0,0
35,Mahebourg,MU,-20.41,57.7,71.6,78,75,18.34,shower rain,0.0,0
36,Ust-Tsilma,RU,65.44,52.15,73.36,65,4,5.53,clear sky,0.0,0
37,Avarua,CK,-21.21,-159.78,78.8,69,82,13.87,broken clouds,0.0,0
38,Ushuaia,AR,-54.8,-68.3,37.4,64,75,16.11,broken clouds,0.0,0
39,Chuy,UY,-33.7,-53.46,45.73,80,6,8.99,clear sky,0.0,0
40,Arraial Do Cabo,BR,-22.97,-42.03,71.6,78,75,8.05,broken clouds,0.0,0
41,Aklavik,CA,68.22,-135.01,42.8,87,75,12.75,shower rain,0.0,0
42,Vila Velha,BR,-20.33,-40.29,75.2,88,0,6.93,clear sky,0.0,0
43,Verkhnevilyuysk,RU,63.45,120.32,68.77,57,13,5.1,few clouds,0.0,0
44,Geraldton,AU,-28.77,114.6,46.4,75,18,5.82,few clouds,0.0,0
45,Fukue,JP,32.69,128.84,76.55,91,100,30.04,heavy intensity rain,0.0,0
46,Shingu,JP,33.73,135.98,73.51,94,100,1.52,overcast clouds,6.5,0
47,Puerto Ayora,EC,-0.74,-90.35,69.01,89,70,5.99,broken clouds,0.0,0
48,Bicester,GB,51.9,-1.15,55.0,96,100,1.01,overcast clouds,0.0,0
49,Upernavik,GL,72.79,-56.15,43.47,76,100,4.99,overcast clouds,0.0,0
50,Pueblo Nuevo,MX,23.38,-105.38,64.02,94,89,1.45,moderate rain,0.0,0
51,Carnarvon,AU,-24.87,113.63,55.4,47,89,10.29,overcast clouds,0.0,0
52,Capreol,CA,46.71,-80.92,87.8,45,40,16.11,scattered clouds,0.0,0
53,Grand Forks,US,47.93,-97.03,77.0,53,75,12.75,broken clouds,0.0,0
54,Cizre,TR,37.33,42.19,85.73,22,3,4.94,clear sky,0.0,0
55,Lancaster,US,40.25,-76.25,91.0,52,1,5.82,clear sky,0.0,0
56,Santo Domingo,DO,18.5,-69.99,87.01,66,75,11.41,broken clouds,0.0,0
57,Den Helder,NL,52.96,4.76,57.2,100,75,16.11,light intensity shower rain,0.0,0
58,Marsh Harbour,BS,26.54,-77.06,85.66,71,100,8.7,moderate rain,0.0,0
59,Luis Correia,BR,-2.88,-41.67,78.37,86,5,10.76,light rain,1.15,0
60,Mount Gambier,AU,-37.83,140.77,42.8,93,40,8.05,scattered clouds,0.28,0
